Time,Book,Away Team,Home Team,Home Line,Home Odds,Away Line,Away Odds,Home Score,Away Score,Home Line Open,Away Line Open
2/29 9:55:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-105,9.5,-118,136,125,-8.5,8.5
2/29 9:55:36 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-106,8.5,-110,136,125,-8.5,8.5
2/29 9:55:28 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:55:08 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-106,8.5,-110,136,125,-8.5,8.5
2/29 9:54:26 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-106,8.5,-110,136,125,-8.5,8.5
2/29 9:54:17 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-111,8.5,-105,136,125,-8.5,8.5
2/29 9:53:59 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-104,136,125,-8.5,8.5
2/29 9:53:53 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-104,136,125,-8.5,8.5
2/29 9:53:15 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.5,-113,8.5,-104,136,125,-8.5,8.5
2/29 9:53:11 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-1.5,-113,1.5,-103,136,125,-8.5,8.5
2/29 9:52:53 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:52:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:52:13 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 9:52:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-115,9.5,-108,136,125,-8.5,8.5
2/29 9:51:51 am,RedZone,Minnesota Timberwolves,Orlando Magic,-9.5,-105,9.5,-118,136,125,-8.5,8.5
2/29 9:51:23 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:51:05 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-122,7.5,-102,136,125,-8.5,8.5
2/29 9:50:46 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
2/29 9:50:30 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-112,6.5,-112,136,125,-8.5,8.5
2/29 9:50:19 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-118,5.5,-105,136,125,-8.5,8.5
2/29 9:49:02 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-122,5.5,-102,136,125,-8.5,8.5
2/29 9:48:50 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-118,5.5,-105,136,125,-8.5,8.5
2/29 9:48:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-112,5.5,-112,136,125,-8.5,8.5
2/29 9:48:08 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-126,5.5,101,136,125,-8.5,8.5
2/29 9:47:58 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-105,5.5,-118,136,125,-8.5,8.5
2/29 9:47:46 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-118,4.5,-105,136,125,-8.5,8.5
2/29 9:47:31 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-108,4.5,-115,136,125,-8.5,8.5
2/29 9:47:10 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-112,4.5,-112,136,125,-8.5,8.5
2/29 9:46:55 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-118,4.5,-105,136,125,-8.5,8.5
2/29 9:46:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-105,3.5,-118,136,125,-8.5,8.5
2/29 9:46:20 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-112,2.5,-112,136,125,-8.5,8.5
2/29 9:46:14 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-115,1.5,-108,136,125,-8.5,8.5
2/29 9:45:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-105,3.5,-118,136,125,-8.5,8.5
2/29 9:44:58 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-118,1.5,-105,136,125,-8.5,8.5
2/29 9:44:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-112,1.5,-112,136,125,-8.5,8.5
2/29 9:44:33 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-105,2.5,-118,136,125,-8.5,8.5
2/29 9:44:14 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-112,1.5,-112,136,125,-8.5,8.5
2/29 9:44:06 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-105,2.5,-118,136,125,-8.5,8.5
2/29 9:43:51 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-118,2.5,-105,136,125,-8.5,8.5
2/29 9:43:12 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-112,1.5,-112,136,125,-8.5,8.5
2/29 9:42:55 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-105,3.5,-118,136,125,-8.5,8.5
2/29 9:42:34 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-118,2.5,-105,136,125,-8.5,8.5
2/29 9:42:06 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-112,2.5,-112,136,125,-8.5,8.5
2/29 9:41:59 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-108,2.5,-115,136,125,-8.5,8.5
2/29 9:41:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-112,1.5,-112,136,125,-8.5,8.5
2/29 9:40:09 am,RedZone,Minnesota Timberwolves,Orlando Magic,0.5,-112,-0.5,-112,136,125,-8.5,8.5
2/29 9:39:56 am,RedZone,Minnesota Timberwolves,Orlando Magic,1.5,-105,-1.5,-118,136,125,-8.5,8.5
2/29 9:39:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-1.5,-112,1.5,-112,136,125,-8.5,8.5
2/29 9:38:57 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-112,2.5,-112,136,125,-8.5,8.5
2/29 9:38:45 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-112,3.5,-112,136,125,-8.5,8.5
2/29 9:38:18 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-118,2.5,-105,136,125,-8.5,8.5
2/29 9:37:55 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-105,2.5,-118,136,125,-8.5,8.5
2/29 9:37:43 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-118,2.5,-105,136,125,-8.5,8.5
2/29 9:37:30 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-112,3.5,-112,136,125,-8.5,8.5
2/29 9:37:05 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-112,4.5,-112,136,125,-8.5,8.5
2/29 9:36:54 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-108,4.5,-115,136,125,-8.5,8.5
2/29 9:36:42 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-105,4.5,-118,136,125,-8.5,8.5
2/29 9:36:31 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-112,5.5,-112,136,125,-8.5,8.5
2/29 9:36:22 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-105,6.5,-118,136,125,-8.5,8.5
2/29 9:36:09 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-112,5.5,-112,136,125,-8.5,8.5
2/29 9:35:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-112,3.5,-112,136,125,-8.5,8.5
2/29 9:34:54 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-109,4.0,-107,136,125,-8.5,8.5
2/29 9:34:39 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-110,4.0,-106,136,125,-8.5,8.5
2/29 9:34:26 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-111,4.0,-105,136,125,-8.5,8.5
2/29 9:34:25 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-111,4.0,-105,136,125,-8.5,8.5
2/29 9:34:24 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-111,4.0,-105,136,125,-8.5,8.5
2/29 9:33:50 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-111,4.0,-105,136,125,-8.5,8.5
2/29 9:33:44 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-106,4.0,-110,136,125,-8.5,8.5
2/29 9:32:47 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-105,4.0,-111,136,125,-8.5,8.5
2/29 9:31:48 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-121,3.5,-103,136,125,-8.5,8.5
2/29 9:31:39 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-103,4.5,-121,136,125,-8.5,8.5
2/29 9:31:09 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-112,4.5,-112,136,125,-8.5,8.5
2/29 9:30:59 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-103,4.5,-121,136,125,-8.5,8.5
2/29 9:30:50 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-106,4.5,-117,136,125,-8.5,8.5
2/29 9:30:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-2.5,-117,2.5,-106,136,125,-8.5,8.5
2/29 9:30:03 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-115,3.5,-108,136,125,-8.5,8.5
2/29 9:29:53 am,RedZone,Minnesota Timberwolves,Orlando Magic,-4.5,-106,4.5,-117,136,125,-8.5,8.5
2/29 9:29:44 am,RedZone,Minnesota Timberwolves,Orlando Magic,-3.5,-115,3.5,-108,136,125,-8.5,8.5
2/29 9:28:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-5.5,-115,5.5,-108,136,125,-8.5,8.5
2/29 9:28:05 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-6.5,-111,6.5,-105,136,125,-8.5,8.5
2/29 9:27:17 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-6.5,-110,6.5,-106,136,125,-8.5,8.5
2/29 9:27:02 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-6.0,-108,6.0,-108,136,125,-8.5,8.5
2/29 9:26:39 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-112,6.5,-112,136,125,-8.5,8.5
2/29 9:26:35 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-108,6.5,-115,136,125,-8.5,8.5
2/29 9:26:23 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-105,6.5,-118,136,125,-8.5,8.5
2/29 9:25:50 am,RedZone,Minnesota Timberwolves,Orlando Magic,-6.5,-118,6.5,-105,136,125,-8.5,8.5
2/29 9:25:40 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-112,7.5,-112,136,125,-8.5,8.5
2/29 9:25:32 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-108,7.5,-115,136,125,-8.5,8.5
2/29 9:25:23 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-118,7.5,-105,136,125,-8.5,8.5
2/29 9:25:11 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:24:54 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 9:24:27 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:24:02 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:23:50 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 9:23:31 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-112,7.5,-112,136,125,-8.5,8.5
2/29 9:23:22 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-118,7.5,-105,136,125,-8.5,8.5
2/29 9:23:17 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-118,8.5,-105,136,125,-8.5,8.5
2/29 9:23:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:22:45 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-112,7.5,-112,136,125,-8.5,8.5
2/29 9:22:42 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-8.0,-103,8.0,-107,136,125,-8.5,8.5
2/29 9:22:37 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-118,7.5,-105,136,125,-8.5,8.5
2/29 9:15:30 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-199,4.0,179,136,125,-8.5,8.5
2/29 9:14:45 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-201,4.0,180,136,125,-8.5,8.5
2/29 9:09:52 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-4.0,-202,4.0,181,136,125,-8.5,8.5
2/29 9:09:22 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.5,-107,7.5,-103,136,125,-8.5,8.5
2/29 9:09:01 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.5,-106,7.5,-104,136,125,-8.5,8.5
2/29 9:08:59 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.5,-106,7.5,-104,136,125,-8.5,8.5
2/29 9:08:37 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.5,-106,7.5,-104,136,125,-8.5,8.5
2/29 9:08:25 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.5,-106,7.5,-104,136,125,-8.5,8.5
2/29 9:07:50 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.0,-101,7.0,-109,136,125,-8.5,8.5
2/29 9:07:27 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-6.5,-105,6.5,-105,136,125,-8.5,8.5
2/29 9:07:16 am,Pinnacle,Minnesota Timberwolves,Orlando Magic,-7.0,-111,7.0,-105,136,125,-8.5,8.5
2/29 9:06:59 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-112,7.5,-112,136,125,-8.5,8.5
2/29 9:06:31 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:06:02 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
2/29 9:05:37 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-118,7.5,-105,136,125,-8.5,8.5
2/29 9:04:49 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-112,8.5,-112,136,125,-8.5,8.5
2/29 9:04:21 am,RedZone,Minnesota Timberwolves,Orlando Magic,-8.5,-105,8.5,-118,136,125,-8.5,8.5
2/29 9:04:16 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-112,7.5,-112,136,125,-8.5,8.5
2/29 9:04:07 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
2/29 9:03:55 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-118,7.5,-105,136,125,-8.5,8.5
2/29 9:03:49 am,RedZone,Minnesota Timberwolves,Orlando Magic,-7.5,-105,7.5,-118,136,125,-8.5,8.5
